,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
125984,15995,2012,34118,NM,1G1ZA5EU6CF389542,Chevrolet,Malibuls,,Public
305465,7980,2004,95528,MO,2FMDA52244BA09522,Ford,Freestar,,Public
291950,22999,2014,40863,FL,1FTEW1CM5EFA98763,Ford,F-1502Wd,,Public
449039,16750,2016,38069,AL,KM8J33A44GU072543,Hyundai,Tucsonfwd,,Public
213040,17681,2016,37258,TX,3C4PDCBG1GT141350,Dodge,Journeyfwd,,Public
815309,36000,2015,23194,KY,JTEBU5JR1F5270269,Toyota,4Runner4X4,,Public
266356,15388,2014,34653,FL,1ZVBP8EMXE5292150,Ford,Mustangconvertible,,Public
585375,13999,2014,30089,LA,JM1GJ1U62E1130296,Mazda,Mazda6Sport,,Public
372282,42850,2015,33922,AL,3GTU2WEC1FG522660,Gmc,Sierra,,Public
94967,19490,2017,12672,FL,1G1ZE5ST6HF203859,Chevrolet,Malibult,,Public
440261,9250,2013,74295,MA,5NPDH4AE7DH269181,Hyundai,Elantragls,,Public
628540,12495,2014,76124,OH,4A4AP3AU3EE031863,Mitsubishi,Outlander,,Public
42617,22500,2011,66043,NJ,5UXZV4C59BL411906,Bmw,X5Awd,,Public
819171,35887,2017,9084,TX,5TFCZ5AN0HX054119,Toyota,Tacoma4Wd,,Public
337126,26575,2015,45155,UT,1FM5K8D89FGC28508,Ford,Explorerxlt,,Public
495896,22980,2016,23632,AL,ZACCJBCT9GPD89771,Jeep,Renegadetrailhawk,,Public
268936,14661,2013,66220,WI,1FMCU9H96DUB86095,Ford,Escapesel,,Public
446170,9500,2015,46004,VA,KMHCT4AEXFU897606,Hyundai,Accentgls,,Public
107514,18997,2016,25372,AL,2GNALCEK1G6103203,Chevrolet,Equinoxfwd,,Public
816360,29991,2016,30430,NJ,5TDYK3DC7GS693899,Toyota,"Siennaxle,",,Public
232216,29999,2015,34272,WA,1C4RDJDG9FC702740,Dodge,Durangoawd,,Public
50847,39000,2016,22142,PA,WBA8G5C51GK752854,Bmw,3,,Public
245493,11591,2016,29039,TX,3FADP4CJ7GM174945,Ford,Fiestasedan,,Public
374793,34646,2016,12339,MS,1GTG6DE39G1183314,Gmc,Canyoncrew,,Public
653219,17988,2014,43295,TX,1N4AA5AP7EC465316,Nissan,Maxima3.5,,Public
701472,51067,2014,37970,CA,WP0CB2A85ES140175,Porsche,Boxsterroadster,,Public
523045,10999,2014,58227,TX,KNAFK4A66E5250588,Kia,Fortelx,,Public
401365,8995,2009,125129,PA,1HGCP26419A108120,Honda,Accord,,Public
624446,20160,2017,10250,CA,WMWXU1C58H2E17446,Mini,Hardtop,,Public
756221,7995,2012,86999,NY,2T1BU4EE3CC859571,Toyota,Corolla4Dr,,Public
286488,11499,2008,93319,CA,1FMFU15558LA22221,Ford,Expedition2Wd,,Public
597956,20995,2014,40357,WA,WDDGF4HB0EA928991,Mercedes-Benz,C-Classc250,,Public
695309,24991,2014,28042,AL,1N6BA0ED4EN505273,Nissan,Titancrew,,Public
268367,16750,2014,38597,NC,2FMDK4GC9EBB05897,Ford,Edgese,,Public
133453,19900,2015,39995,MA,1GBZG1FF8F1116803,Chevrolet,Express,,Public
190254,7997,2011,79240,MI,1C3BC2FB0BN582616,Chrysler,2004Dr,,Public
467504,18734,2012,41326,AR,JN1CV6AP9CM626949,Infiniti,G37,,Public
506321,29931,2015,40820,CO,1C4RJFBG6FC782720,Jeep,Grand,,Public
124943,18295,2014,28156,IL,1GNKRFED6EJ330697,Chevrolet,Traversels,,Public
735242,20834,2013,43022,TN,JF1GR7E64DG874588,Subaru,Impreza,,Public
98499,16614,2017,18864,TX,1G1BE5SM8H7112211,Chevrolet,Cruzesedan,,Public
415717,8988,2008,173455,FL,JHLRE48788C039711,Honda,Cr-V4Wd,,Public
719517,36962,2016,32416,IL,1C6RR6NM9GS293253,Ram,"1500Laramie,",,Public
477916,54991,2017,13243,FL,JN8AZ2NF4H9642767,Infiniti,Qx80Rwd,,Public
306985,27989,2015,39554,NY,1FM5K8D82FGA92304,Ford,Explorerxlt,,Public
337497,34900,2012,120529,NC,1FT8W3BT3CEB30386,Ford,Super,,Public
539662,13500,2014,44353,TX,KNAFX4A86E5052015,Kia,Forteex,,Public
125278,16966,2015,40871,NC,1G1PG5SBXF7206330,Chevrolet,Cruzeltz,,Public
583208,12999,2016,39868,NV,JM1BM1T72G1298891,Mazda,Mazda3I,,Public
592535,13755,2013,82852,CA,JM1CW2CL1D0151898,Mazda,Mazda5Touring,,Public
563467,20995,2012,78405,VA,2T2BK1BA1CC141566,Lexus,Rx,,Public
816085,35932,2015,43193,GA,5TFDW5F1XFX426484,Toyota,Tundra,,Public
