,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
386,29000,2019,54280,IA,4S4WMAMD7K3445351,Subaru,Ascent,Excellent,Public
387,23500,2018,7367,TX,1GCGSBEA9J1143160,Chevrolet,Colorado Crew Cab Work,Good,Public
388,0,2018,74678,ME,1FMCU9HD1JUC12912,Ford,Escape,Unknown,Public
389,10495,2008,170150,SC,1FTSX21598EB04740,Ford,F-250 Super Duty,Excellent,Public
390,10500,2009,244061,TN,3TMJU62N09M077501,Toyota,Tacoma Prerunner,Excellent,Public
391,234,2018,14301,NC,5XXGU4L39JG221337,Kia,Optima Ex,Good,Public
392,6995,2008,184741,CA,JTJHW31U582850983,Lexus,Rx 400H,Excellent,Public
393,17900,2016,0,CA,55SWF4JB0GU112744,Mercedes-Benz,C-Class,Excellent,Public
394,12500,2006,116540,IL,WDDDJ76X96A061139,Mercedes-Benz,Cls-Class,Unknown,Public
395,3600,2001,295810,CA,JT3HN86R810349938,Toyota,4Runner Sr5 4Wd,Unknown,Public
396,1850,1998,55000,NY,2g4ws52m7w1433308,Buick,Century,Fair,Auction
397,14500,2017,32912,MI,3G1BE6SM2HS534000,Chevrolet,Cruze Lt Hatchback 4D,Good,Public
398,28500,2019,9399,KY,JM3KFBCM7K0641450,Mazda,Cx-5,Like New,Public
399,12000,1968,1,CA,N-A,Volkswagen,Bus,Unknown,Auction
400,22988,2015,129622,ID,1GNSKHKC4FR221802,Chevrolet,Suburban,Unknown,Public
401,19991,2014,34544,OR,2T3RFREV2EW126782,Toyota,Rav4,Unknown,Public
402,25591,2020,23253,IA,5TDKZ3DCXLS024814,Toyota,Sienna,Excellent,Public
403,11998,2012,101668,MA,5FNYF4H29CB002382,Honda,Pilot,Unknown,Public
404,3999,2004,217214,CA,1GNEK13T64R159237,Chevrolet,Tahoe,Excellent,Public
405,0,2016,69422,OH,1GKKVTKD8GJ287205,Gmc,Acadia,Excellent,Public
406,1300,2001,186320,WI,2C3HE66G72H165879,Chrysler,300M,Good,Public
407,11488,2013,150530,OK,1FM5K8D85DGA14127,Ford,Explorer,Unknown,Public
408,38500,2017,12118,NC,5TFDY5F18HX612179,Toyota,Tundra Crewmax Sr5 Pickup,Good,Public
409,12300,2011,57651,FL,2T1BU4EE6BC730996,Toyota,Corolla Sedan 4D,Good,Public
410,0,2011,172403,OR,1FMCU9D73BKB74435,Ford,Escape,Excellent,Public
411,5995,2007,115107,MA,1HGFA16837L012065,Honda,Civic Ex,Excellent,Public
